::1 - - [16/Aug/2022:04:55:23 +0000] "GET /media-admin.php HTTP/1.0" 404 154 "www.bing.com" "wp_is_mobile"
::ffff:127.0.0.1 - - [16/Aug/2022:04:55:24 +0000] "GET /export.php HTTP/1.0" 404 149 "www.bing.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"
::1 - - [16/Aug/2022:04:55:24 +0000] "GET /wp-content/export.php HTTP/1.0" 404 160 "www.bing.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"
::ffff:127.0.0.1 - - [16/Aug/2022:04:55:24 +0000] "GET /wp-includes/wp-class.php HTTP/1.0" 404 163 "www.bing.com" "wp_is_mobile"
::1 - - [16/Aug/2022:04:55:25 +0000] "GET /wp-includes/wp-atom.php HTTP/1.0" 404 162 "www.bing.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"
::ffff:127.0.0.1 - - [16/Aug/2022:04:55:25 +0000] "GET /wp-includes/images/css.php HTTP/1.0" 404 165 "www.bing.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"
::1 - - [16/Aug/2022:04:55:25 +0000] "GET /wp-includes/css/css.php HTTP/1.0" 404 162 "www.bing.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"
::ffff:127.0.0.1 - - [16/Aug/2022:04:55:26 +0000] "GET /defau1t.php HTTP/1.0" 404 150 "www.bing.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"
::1 - - [16/Aug/2022:04:55:26 +0000] "GET /moduless.php HTTP/1.0" 404 151 "www.bing.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"
::ffff:127.0.0.1 - - [16/Aug/2022:04:55:26 +0000] "GET /wp-booking.php HTTP/1.0" 404 153 "www.bing.com" "wp_is_mobile"
::1 - - [16/Aug/2022:04:55:27 +0000] "GET /wp-content/plugins/backup_index.php HTTP/1.0" 404 174 "www.bing.com" "wp_is_mobile"
::ffff:127.0.0.1 - - [16/Aug/2022:04:55:27 +0000] "GET /wp-content/mu-plugins/db-safe-mode.php HTTP/1.0" 404 177 "www.bing.com" "wp_is_mobile"
::1 - - [16/Aug/2022:04:55:27 +0000] "GET /wp-includes/css/wp-config.php HTTP/1.0" 404 168 "www.bing.com" "wp_is_mobile"
::ffff:127.0.0.1 - - [16/Aug/2022:04:55:28 +0000] "GET /config.bak.php HTTP/1.0" 404 153 "www.bing.com" "wp_is_mobile"
::1 - - [16/Aug/2022:04:55:28 +0000] "GET /wp-content/themes/config.bak.php HTTP/1.0" 404 171 "www.bing.com" "wp_is_mobile"
::ffff:127.0.0.1 - - [16/Aug/2022:04:55:28 +0000] "GET /legion.php HTTP/1.0" 404 149 "www.bing.com" "wp_is_mobile"
::1 - - [16/Aug/2022:04:55:29 +0000] "GET /wp-content/plugins/wpconfig.bak.php?act=sf HTTP/1.0" 404 174 "www.bing.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"
::ffff:127.0.0.1 - - [16/Aug/2022:04:55:29 +0000] "GET /wp-plugins.php HTTP/1.0" 404 153 "www.bing.com" "wp_is_mobile"
::1 - - [16/Aug/2022:04:55:29 +0000] "GET /gank.php.PhP HTTP/1.0" 404 151 "www.bing.com" "wp_is_mobile"
::ffff:127.0.0.1 - - [16/Aug/2022:04:55:30 +0000] "GET /wp-content/db-cache.php HTTP/1.0" 404 162 "www.bing.com" "wp_is_mobile"
::1 - - [16/Aug/2022:04:55:30 +0000] "GET /archives.php HTTP/1.0" 404 151 "www.bing.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"
::ffff:127.0.0.1 - - [16/Aug/2022:04:55:30 +0000] "GET /defau11.php HTTP/1.0" 404 150 "www.bing.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"
::1 - - [16/Aug/2022:04:55:31 +0000] "GET /wp-content/outcms.php?up HTTP/1.0" 404 160 "www.bing.com" "wp_is_mobile"
::ffff:127.0.0.1 - - [16/Aug/2022:04:55:31 +0000] "GET /system_log.php?bala=up HTTP/1.0" 404 153 "www.bing.com" "wp_is_mobile"
::1 - - [16/Aug/2022:04:55:31 +0000] "GET /wp-backup-sql-302.php HTTP/1.0" 404 160 "www.bing.com" "wp_is_mobile"
::ffff:127.0.0.1 - - [16/Aug/2022:04:55:32 +0000] "GET /error.php?phpshells HTTP/1.0" 404 148 "www.bing.com" "wp_is_mobile"
::1 - - [16/Aug/2022:04:55:32 +0000] "GET /ALFA_DATA HTTP/1.0" 404 148 "www.bing.com" "wp_is_mobile"
::ffff:127.0.0.1 - - [16/Aug/2022:04:55:33 +0000] "GET /alfacgiapi HTTP/1.0" 404 149 "www.bing.com" "wp_is_mobile"
::1 - - [16/Aug/2022:04:55:33 +0000] "GET /cgialfa HTTP/1.0" 404 146 "www.bing.com" "wp_is_mobile"
::ffff:127.0.0.1 - - [16/Aug/2022:04:55:33 +0000] "GET /.well-known/ALFA_DATA HTTP/1.0" 404 160 "www.bing.com" "wp_is_mobile"
::1 - - [16/Aug/2022:04:55:34 +0000] "GET /.well-known/alfacgiapi HTTP/1.0" 404 161 "www.bing.com" "wp_is_mobile"
::ffff:127.0.0.1 - - [16/Aug/2022:04:55:34 +0000] "GET /.well-known/cgialfa HTTP/1.0" 404 158 "www.bing.com" "wp_is_mobile"
::1 - - [16/Aug/2022:04:55:34 +0000] "GET /wp-content/uploads/ALFA_DATA HTTP/1.0" 404 167 "www.bing.com" "wp_is_mobile"
::ffff:127.0.0.1 - - [16/Aug/2022:04:55:35 +0000] "GET /wp-content/uploads/alfacgiapi HTTP/1.0" 404 168 "www.bing.com" "wp_is_mobile"
::1 - - [16/Aug/2022:04:55:35 +0000] "GET /wp-content/uploads/cgialfa HTTP/1.0" 404 165 "www.bing.com" "wp_is_mobile"
::ffff:127.0.0.1 - - [16/Aug/2022:04:55:35 +0000] "GET /wp-includes/ALFA_DATA HTTP/1.0" 404 160 "www.bing.com" "wp_is_mobile"
::1 - - [16/Aug/2022:04:55:36 +0000] "GET /wp-includes/alfacgiapi HTTP/1.0" 404 161 "www.bing.com" "wp_is_mobile"
