::1 - - [20/Jun/2022:01:18:55 +0000] "GET / HTTP/1.0" 404 139 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [20/Jun/2022:02:05:59 +0000] "GET /.env HTTP/1.0" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::1 - - [20/Jun/2022:02:06:01 +0000] "POST / HTTP/1.0" 404 140 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:127.0.0.1 - - [20/Jun/2022:02:32:18 +0000] "POST /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.0" 404 190 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::1 - - [20/Jun/2022:02:44:13 +0000] "GET /ReportServer HTTP/1.0" 404 151 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - - [20/Jun/2022:03:41:30 +0000] "GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.0" 404 189 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::1 - - [20/Jun/2022:04:07:56 +0000] "GET /solr/admin/info/system?wt=json HTTP/1.0" 404 161 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [20/Jun/2022:04:28:13 +0000] "GET /index.php?s=/Index/\think\app/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP21 HTTP/1.0" 404 148 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [20/Jun/2022:05:03:21 +0000] "POST /api/v1/users/login HTTP/1.0" 200 547 "-" "Expo/2.24.3.1014878 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [20/Jun/2022:05:03:22 +0000] "GET /api/v1/categories HTTP/1.0" 200 407 "-" "Expo/2.24.3.1014878 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [20/Jun/2022:05:03:22 +0000] "GET /api/v1/goods/user?limit=2 HTTP/1.0" 200 804 "-" "Expo/2.24.3.1014878 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [20/Jun/2022:05:05:43 +0000] "GET /.env HTTP/1.0" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::1 - - [20/Jun/2022:05:05:45 +0000] "POST / HTTP/1.0" 404 140 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:127.0.0.1 - - [20/Jun/2022:05:09:09 +0000] "GET /api/v1/transactions/basket?limit=100&sort=-createdAt HTTP/1.0" 200 107 "-" "Expo/2.24.3.1014878 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [20/Jun/2022:05:09:09 +0000] "GET /api/v1/categories HTTP/1.0" 304 - "-" "Expo/2.24.3.1014878 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [20/Jun/2022:05:09:09 +0000] "GET /api/v1/goods/user?limit=2 HTTP/1.0" 304 - "-" "Expo/2.24.3.1014878 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [20/Jun/2022:05:11:52 +0000] "GET /api/v1/transactions/basket?limit=100&sort=-createdAt HTTP/1.0" 304 - "-" "Expo/2.24.3.1014878 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [20/Jun/2022:05:11:52 +0000] "GET /api/v1/transactions/basket?limit=100&sort=-createdAt HTTP/1.0" 304 - "-" "Expo/2.24.3.1014878 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [20/Jun/2022:05:39:46 +0000] "GET /?a=fetch&content=<php>die(@md5(HelloThinkCMF))</php> HTTP/1.0" 404 139 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::1 - - [20/Jun/2022:05:40:41 +0000] "POST /api/v1/users/login HTTP/1.0" 200 547 "-" "Expo/2.24.3.1014878 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [20/Jun/2022:05:40:42 +0000] "GET /api/v1/categories HTTP/1.0" 304 - "-" "Expo/2.24.3.1014878 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [20/Jun/2022:05:40:42 +0000] "GET /api/v1/transactions/basket?limit=100&sort=-createdAt HTTP/1.0" 304 - "-" "Expo/2.24.3.1014878 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [20/Jun/2022:05:40:42 +0000] "GET /api/v1/goods/user?limit=2 HTTP/1.0" 304 - "-" "Expo/2.24.3.1014878 CFNetwork/1333.0.4 Darwin/21.5.0"
